Feature,Importance
WEIGHTED_EXT_SOURCE,0.37329817234912754
REG_CITY_NOT_WORK_CITY,0.0960662566766533
ANNUITY_INCOME_RATIO_MAX_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.053509513727596526
B_DAYS_CREDIT_STD_OVERALL,0.03904501921905816
EXT_SOURCE_MAX,0.03781933148536605
ANNUITY_INCOME_RATIO_MAX_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,0.034347738280713365
HOUR_PROCESS_CREDIT_MUL,0.030898533984458663
AGE_EMPLOYED_DIFF_MIN_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.029588087889490796
EXT_SOURCE_3,0.023760881894382833
INCOME_EXT_RATIO,0.022093746190889944
B_DAYS_CREDIT_UPDATE_MEAN_OVERALL,0.02119824313559586
AGE_EMPLOYED_DIFF_MEAN_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.021018393176699318
AMT_INCOME_TOTAL_MIN_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,0.019333466739882864
ANNUITY_INCOME_RATIO_MAX_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.01872936966658836
B_DAYS_CREDIT_ENDDATE_MIN_CA_CLOSED,0.017332960047655836
EXT_SOURCE_MIN,0.017054547901002113
AGE_EMPLOYED_DIFF_MIN_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,0.016731120830878323
B_B_CREDIT_DURATION_MAX_CA_CLOSED,0.016713974419820532
FLAG_DOCUMENT_3,0.014936118301232594
DAYS_EMPLOYED,0.011722464519474774
AMT_ANNUITY,0.011563300985160306
AGE_EMPLOYED_DIFF_MIN_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.010141855037241035
AMT_INCOME_TOTAL_MAX_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.008391110473524699
B_B_CURRENT_CREDIT_DEBT_DIFF_MEAN_OVERALL,0.007669754842460644
AMT_INCOME_TOTAL_MAX_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,0.007244259058500198
B_B_CURRENT_CREDIT_DEBT_DIFF_MIN_OVERALL,0.005682386361841764
EXT_SOURCE_2,0.005109174281016032
AMT_INCOME_TOTAL_MIN_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,0.004861991589518968
AGE_EMPLOYED_DIFF_MEAN_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,0.003811817828960627
B_AMT_CREDIT_SUM_MAX_CA_CLOSED,0.0037622782539031762
AMT_INCOME_TOTAL_MEAN_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.0035134174520348254
AMT_ANNUITY_MAX_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.0034737285461138414
B_AMT_CREDIT_SUM_MAX_OVERALL,0.003114983086248759
DAYS_ID_PUBLISH,0.0017009354900416583
CREDIT_EXT_RATIO,0.0008883328948430108
B_DAYS_CREDIT_MAX_OVERALL,0.00056876925877564
AMT_INCOME_TOTAL_MAX_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.0005593397384590878
B_DAYS_CREDIT_ENDDATE_MIN_OVERALL,0.0004317553144444632
AMT_ANNUITY_MAX_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0003993944723623377
INCOME_APARTMENT_MODE_MUL,0.00026208067325868257
