Feature,Importance
EXT_SOURCE_MEAN,0.3683744086300007
B_DAYS_CREDIT_MEAN_CA_SOLD,0.012939520750184515
B_BB_STATUS_ENCODED_LAST_YEAR_REST_MEAN_OVERALL,0.011850360320348296
B_BB_WEIGHTED_STATUS_FIRST_YEAR_0_MEAN_OVERALL,0.010168519536409718
EXT_SOURCE_MIN,0.008937802884809927
AMT_ANNUITY_MIN_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.00813933872393009
REGION_RATING_MIN,0.006099452808423051
B_BB_STATUS_ENCODED_MEAN_MAX_CA_CLOSED,0.006056379543945426
OBS_DEF_30_MUL,0.005866416461441956
B_AMT_CREDIT_SUM_LIMIT_STD_OVERALL,0.005320707729745813
B_BB_MONTHS_BALANCE_POS_COUNT_MIN_OVERALL,0.005178480610297156
GOODS_INCOME_RATIO,0.005092399274117407
AMT_REQ_CREDIT_BUREAU_QRT,0.0048020010594104195
B_DAYS_ENDDATE_FACT_MEAN_OVERALL,0.004692614283106233
B_BB_STATUS_ENCODED_FIRST_MEAN_OVERALL,0.004667852627189425
B_BB_WEIGHTED_STATUS_SUM_MAX_OVERALL,0.004657152472683283
B_BB_STATUS_ENCODED_MAX_STD_OVERALL,0.004572450319429287
B_BB_MONTHS_BALANCE_POS_MAX_SUM_OVERALL,0.004305289492530017
AMT_ANNUITY_MIN_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.00429096461720186
B_BB_WEIGHTED_STATUS_FIRST_STD_OVERALL,0.004277072301561028
B_CREDIT_ACTIVE_ACTIVE_MEAN,0.004162545986706461
AGE_EMPLOYED_DIFF_MIN_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.004084000225416515
B_BB_EXP_ENCODED_STATUS_LAST_YEAR_1_MIN_OVERALL,0.00399085650489508
AMT_INCOME_TOTAL_MIN_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.003881335207551395
AMT_REQ_CREDIT_BUREAU_YEAR,0.0037518714920151104
B_BB_EXP_ENCODED_STATUS_LAST_YEAR_0_SUM_OVERALL,0.00363456120134526
B_BB_STATUS_ENCODED_MAX_YEAR_REST_STD_OVERALL,0.003460699016867579
CREDIT_ANNUITY_RATIO,0.0033747921184577915
FLAG_DOCUMENT_5,0.0033731914714129627
B_BB_STATUS_ENCODED_MAX_YEAR_1_MEAN_OVERALL,0.0033528359432094825
LIVE_REGION_NOT_WORK_REGION,0.003307611777211336
B_DAYS_ENDDATE_FACT_MIN_OVERALL,0.0033005032391761175
B_AMT_CREDIT_SUM_DEBT_MEAN_OVERALL,0.003196809630043373
B_DAYS_CREDIT_ENDDATE_MAX_CA_SOLD,0.0030466676482603624
B_BB_STATUS_ENCODED_FIRST_YEAR_REST_MEAN_OVERALL,0.003039434080940617
B_BB_WEIGHTED_STATUS_MEAN_MAX_CA_ACTIVE,0.002978502711092182
APARTMENTS_SUM_AVG,0.0028820779535066116
B_BB_WEIGHTED_STATUS_MAX_YEAR_REST_SUM_OVERALL,0.0028291456010190712
AGE_EMPLOYED_DIFF_MEAN_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,0.002789191081896594
B_BB_STATUS_ENCODED_FIRST_SUM_OVERALL,0.002694312229615614
B_BB_WEIGHTED_STATUS_SUM_STD_OVERALL,0.0026795605393643393
B_BB_MONTHS_BALANCE_POS_MEAN_SUM_OVERALL,0.0026767441757658307
B_BB_STATUS_ENCODED_MEAN_YEAR_1_MEAN_OVERALL,0.0026346708646991022
B_BB_STATUS_ENCODED_MAX_YEAR_1_STD_OVERALL,0.002617669865606344
FLOORSMIN_MODE,0.0025937576449828297
B_BB_STATUS_ENCODED_MAX_YEAR_0_MEAN_OVERALL,0.002578102162201991
B_BB_WEIGHTED_STATUS_MEAN_MAX_CA_CLOSED,0.0025539739137907446
B_AMT_CREDIT_SUM_OVERDUE_MAX_CA_SOLD,0.002546583626129728
B_BB_WEIGHTED_STATUS_LAST_YEAR_0_SUM_OVERALL,0.0025448265346331993
B_B_CURRENT_AMT_OVERDUE_DURATION_RATIO_MEAN_OVERALL,0.0025226294603358556
B_BB_EXP_ENCODED_STATUS_LAST_MAX_OVERALL,0.002495612295959625
CREDIT_GOODS_RATIO,0.0024809138330110845
B_BB_STATUS_ENCODED_MEAN_YEAR_1_STD_OVERALL,0.002450178542287184
B_B_CNT_PROLONGED_DURATION_RATIO_MAX_OVERALL,0.0024070562845755353
B_AMT_CREDIT_SUM_OVERDUE_MAX_OVERALL,0.002402025252946531
FLOORSMIN_AVG,0.0022726310726113655
B_BB_STATUS_ENCODED_MEAN_STD_OVERALL,0.0022636727641460034
B_BB_EXP_ENCODED_STATUS_LAST_SUM_OVERALL,0.002241011897387042
AMT_ANNUITY_MEAN_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0022068386037573094
B_BB_STATUS_ENCODED_MAX_YEAR_REST_MAX_OVERALL,0.0021987682362208803
B_BB_MONTHS_BALANCE_POS_MAX_MAX_OVERALL,0.002173613337736993
B_BB_STATUS_ENCODED_MAX_MAX_OVERALL,0.0021609716770166895
DAYS_DETAILS_CHANGE_SUM,0.002148421898457569
B_B_CNT_PROLONGED_DURATION_RATIO_SUM_OVERALL,0.002137435346022939
INCOME_APARTMENT_AVG_MUL,0.0021156325004430755
B_CREDIT_DAY_OVERDUE_SUM_OVERALL,0.0021105260660113207
DAYS_REGISTRATION,0.002060335174040367
AMT_ANNUITY_MAX_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,0.0020546406221006817
B_BB_WEIGHTED_STATUS_MEAN_YEAR_0_MEAN_OVERALL,0.0020541335419104476
B_CREDIT_DAY_OVERDUE_MAX_OVERALL,0.002017532841536339
B_BB_EXP_ENCODED_STATUS_LAST_YEAR_REST_MEAN_OVERALL,0.002008999567431215
DAYS_LAST_PHONE_CHANGE,0.002008946626438686
B_AMT_CREDIT_SUM_MEAN_OVERALL,0.0020056503688431183
AGE_EMPLOYED_DIFF_MIN_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.0020015416780257236
B_BB_STATUS_ENCODED_MEAN_YEAR_REST_MEAN_OVERALL,0.001976863834328891
B_BB_EXP_ENCODED_STATUS_LAST_YEAR_1_MAX_OVERALL,0.0019520633841001388
B_BB_STATUS_ENCODED_MEAN_YEAR_REST_MAX_OVERALL,0.0019503424957639998
B_AMT_CREDIT_SUM_OVERDUE_MEAN_CA_SOLD,0.0019400506510956653
DEF_30_CREDIT_RATIO,0.0019325030143984363
B_BB_STATUS_ENCODED_LAST_YEAR_REST_MIN_OVERALL,0.0019174157270674095
B_BB_EXP_WEIGHTED_STATUS_LAST_MAX_OVERALL,0.0019027412926863735
FLAG_WORK_PHONE,0.00190076125980045
B_BB_WEIGHTED_STATUS_MAX_YEAR_0_STD_OVERALL,0.001894606879795228
B_BB_STATUS_ENCODED_LAST_YEAR_REST_STD_OVERALL,0.0018690649352513385
B_B_AMT_ANNUITY_CREDIT_RATIO_STD_OVERALL,0.001863001372189033
AGE_EMPLOYED_DIFF_MEAN_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.0018614507579794298
FLAG_DOCUMENT_6,0.0017994040396982173
AMT_INCOME_TOTAL_MAX_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0017954581837411453
REGION_RATING_CLIENT,0.0017880872082458885
SUM_FLAGS_DOCUMENTS,0.0017870910180901969
B_BB_WEIGHTED_STATUS_MEAN_MEAN_CA_ACTIVE,0.0017807189136953613
B_AMT_CREDIT_SUM_SUM_CA_ACTIVE,0.001778802347319958
B_BB_MONTHS_BALANCE_POS_COUNT_SUM_CA_ACTIVE,0.0017618176819134597
YEARS_BEGINEXPLUATATION_MODE,0.0017515293131456563
ENTRANCES_AVG,0.001748735284376612
B_BB_STATUS_ENCODED_LAST_YEAR_0_MAX_OVERALL,0.0017455081942401509
B_B_CREDIT_DURATION_MAX_CA_SOLD,0.0017434681356926862
B_BB_EXP_ENCODED_STATUS_LAST_YEAR_1_MEAN_OVERALL,0.0017425636114851524
B_B_CREDIT_ENDDATE_UPDATE_DIFF_MEAN_OVERALL,0.0017415997003163773
B_AMT_CREDIT_SUM_STD_OVERALL,0.0017223726183654923
EXT_SOURCE_2,0.0017210144340758307
APARTMENTS_SUM_MODE,0.0017150475030500258
B_BB_MONTHS_BALANCE_POS_MAX_MIN_OVERALL,0.0017138678080490374
B_AMT_CREDIT_SUM_SUM_CA_CLOSED,0.0017068329798170924
B_AMT_CREDIT_SUM_DEBT_SUM_CA_ACTIVE,0.0016943445679685702
B_BB_STATUS_ENCODED_MAX_YEAR_1_MIN_OVERALL,0.0016869014654749136
SUM_OBS_DEF_ALL,0.0016818020002106488
AMT_ANNUITY_MEAN_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.0016636890607406665
AMT_ANNUITY_MAX_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0016632154279079194
B_DAYS_CREDIT_ENDDATE_MIN_OVERALL,0.00165424405335139
B_BB_MONTHS_BALANCE_POS_COUNT_MEAN_OVERALL,0.001648077427517911
OBS_30_60_SUM,0.0016453233148608342
ANNUITY_INCOME_RATIO_MAX_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.001632696696425097
B_BB_STATUS_ENCODED_FIRST_YEAR_0_SUM_OVERALL,0.0016320258932225836
AMT_ANNUITY,0.0016160758652406767
B_AMT_CREDIT_SUM_OVERDUE_MEAN_CA_BAD_DEBT,0.0016156572148050764
AMT_INCOME_TOTAL_MAX_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.001610895079603212
YEARS_BUILD_MEDI,0.001607159503856708
B_BB_STATUS_ENCODED_MEAN_YEAR_0_STD_OVERALL,0.0016052087748408101
B_DAYS_CREDIT_UPDATE_SUM_OVERALL,0.001600038350606404
B_AMT_ANNUITY_MEAN_OVERALL,0.0015953637241855347
B_BB_WEIGHTED_STATUS_MEAN_YEAR_REST_SUM_OVERALL,0.001582061707393277
B_BB_WEIGHTED_STATUS_MAX_YEAR_0_MIN_OVERALL,0.0015819748936376009
B_B_AMT_OVERDUE_DURATION_LEFT_RATIO_MEAN_OVERALL,0.0015656915122836525
EXT_SOURCE_1,0.0015425881530060092
B_BB_MONTHS_BALANCE_POS_COUNT_SUM_OVERALL,0.0015382268386829256
B_BB_STATUS_ENCODED_LAST_YEAR_0_MIN_OVERALL,0.0015309475559346563
B_AMT_CREDIT_SUM_OVERDUE_MEAN_CA_CLOSED,0.0014938462271285786
B_BB_STATUS_ENCODED_MAX_YEAR_1_MAX_OVERALL,0.0014714024403498487
B_AMT_ANNUITY_MAX_CA_BAD_DEBT,0.0014625424847362928
EXT_SOURCE_3,0.0014614291351635253
B_BB_MONTHS_BALANCE_POS_COUNT_MAX_OVERALL,0.0014395592734141524
B_BB_EXP_ENCODED_STATUS_LAST_MIN_OVERALL,0.0014329605796996726
B_AMT_CREDIT_SUM_LIMIT_MIN_OVERALL,0.0014300834787423777
B_BB_STATUS_ENCODED_FIRST_YEAR_REST_STD_OVERALL,0.0014263798699561132
AMT_ANNUITY_MAX_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.0014262125016691058
CAR_EMPLOYED_RATIO,0.0014200103908993257
AMT_ANNUITY_MIN_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,0.0014170768461683218
FLOORSMAX_MEDI,0.0014148109985350757
AMT_INCOME_TOTAL_MIN_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,0.001399206409725343
FLAG_DOCUMENT_3,0.0013989069141669911
B_BB_STATUS_ENCODED_MAX_MEAN_OVERALL,0.0013922980151919986
EXT_SOURCE_MAX,0.0013834077139954798
B_BB_WEIGHTED_STATUS_MEAN_YEAR_0_MAX_OVERALL,0.0013771567526283145
B_BB_WEIGHTED_STATUS_SUM_MIN_OVERALL,0.0013613031469131543
AMT_INCOME_TOTAL_MAX_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0013430595616014066
B_AMT_CREDIT_SUM_DEBT_MEAN_CA_CLOSED,0.0013391911059387393
FLOORSMIN_MEDI,0.0013379880032391607
B_BB_WEIGHTED_STATUS_MEAN_YEAR_0_MIN_OVERALL,0.0013301431062113325
B_BB_EXP_WEIGHTED_STATUS_LAST_YEAR_0_MEAN_OVERALL,0.0013269406690442898
B_BB_STATUS_ENCODED_FIRST_STD_OVERALL,0.001326685369726528
B_DAYS_CREDIT_UPDATE_MAX_OVERALL,0.0013184813183559302
OBS_60_CREDIT_RATIO,0.0013183762860288623
B_AMT_ANNUITY_STD_OVERALL,0.0013181398745519305
B_CREDIT_DAY_OVERDUE_MEAN_CA_CLOSED,0.0013114078200770374
B_B_CURRENT_DEBT_TO_CREDIT_RATIO_MAX_OVERALL,0.0013080598665247045
OWN_CAR_AGE,0.0012927290692902884
B_DAYS_CREDIT_SUM_OVERALL,0.0012906371441899634
B_AMT_CREDIT_SUM_MAX_CA_SOLD,0.0012877840139144524
ANNUITY_INCOME_RATIO_MAX_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0012842423890819439
AMT_ANNUITY_MIN_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.0012709480385374441
B_BB_STATUS_ENCODED_MEAN_YEAR_0_MAX_OVERALL,0.0012697423296408378
B_DAYS_CREDIT_MIN_CA_SOLD,0.001267047219176067
AMT_REQ_CREDIT_BUREAU_MON,0.0012635042726574632
AGE_EMPLOYED_DIFF,0.0012452152755015617
