Feature,Importance
WEIGHTED_EXT_SOURCE,0.4106270820488181
AMT_ANNUITY_MEAN_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.1040173630669178
B_CREDIT_ACTIVE_CLOSED_MEAN,0.05082273056060231
B_B_CURRENT_CREDIT_DEBT_DIFF_MEAN_OVERALL,0.043208655546558755
CREDIT_GOODS_DIFF,0.041112668864358846
CAR_AGE_DIFF,0.03841603012875673
AMT_ANNUITY,0.03629271616091848
B_DAYS_CREDIT_UPDATE_MAX_OVERALL,0.028573998766262404
B_DAYS_CREDIT_MEAN_OVERALL,0.027890974351037313
ENTRANCES_AVG,0.027104894167652254
EXT_SOURCE_3,0.019181880100641403
AMT_ANNUITY_MIN_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.017476742629843882
EXT_SOURCE_2,0.01590682629936801
CREDIT_GOODS_RATIO,0.013721621456984068
DAYS_EMPLOYED,0.012046850863120483
HOUR_PROCESS_CREDIT_MUL,0.009916071245913054
B_DAYS_CREDIT_ENDDATE_MIN_CA_CLOSED,0.008134666972298886
B_DAYS_CREDIT_MAX_OVERALL,0.007493994725648937
DAYS_DETAILS_CHANGE_SUM,0.006618103330322228
AMT_INCOME_TOTAL_MEAN_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.006609034008932789
REGION_RATING_MUL,0.00643875061154878
EXT_SOURCE_MIN,0.005086931852269192
AGE_EMPLOYED_DIFF_MEAN_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.004353636786892806
INCOME_APARTMENT_MODE_MUL,0.004220179133044223
B_B_CREDIT_DURATION_MIN_CA_CLOSED,0.0042046154385747235
AMT_INCOME_TOTAL_MAX_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.003695137263681932
OWN_CAR_AGE,0.0036860385844470324
AGE_EMPLOYED_DIFF_MEAN_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0035589577874457806
DAYS_ID_PUBLISH,0.003324778963332862
AMT_ANNUITY_MEAN_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.003009987616453915
ANNUITY_INCOME_RATIO_MAX_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.002589253887464014
B_AMT_CREDIT_SUM_MAX_OVERALL,0.0024328356219466283
AMT_INCOME_TOTAL_MIN_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,0.002334729838420324
AMT_ANNUITY_MIN_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,0.0022704112313923657
CREDIT_EXT_RATIO,0.002222321320921017
AMT_ANNUITY_MIN_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.0020239448808206067
B_B_CURRENT_CREDIT_DEBT_DIFF_MIN_OVERALL,0.0017884001336013523
B_DAYS_CREDIT_UPDATE_MEAN_OVERALL,0.0017028157777721127
APARTMENTS_SUM_MODE,0.0014077674243774224
DAYS_BIRTH,0.0012166280340267963
B_DAYS_CREDIT_MAX_CA_ACTIVE,0.001170383458884029
AGE_EMPLOYED_DIFF_MEAN_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,0.0010522408358793248
B_DAYS_CREDIT_MAX_CA_CLOSED,0.0010049412121930705
B_DAYS_CREDIT_MIN_CA_CLOSED,0.0009687908192973312
B_CREDIT_ACTIVE_ACTIVE_MEAN,0.0009268513706034314
EXT_SOURCE_MAX,0.0008760733754912586
AMT_ANNUITY_MAX_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,0.0008355767794379543
CAR_EMPLOYED_RATIO,0.0006362826709931172
B_DAYS_CREDIT_STD_OVERALL,0.0006005829881488298
AMT_ANNUITY_MIN_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,0.0006002952408060613
REG_CITY_NOT_LIVE_CITY,0.0005962069856568037
B_B_CURRENT_DEBT_TO_CREDIT_RATIO_MAX_OVERALL,0.00041258119997437145
DEF_30_CREDIT_RATIO,0.0003552098650418763
AGE_EMPLOYED_DIFF_MIN_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.0003278321285304648
ANNUITY_INCOME_RATIO_MAX_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0003175876334449929
FLAG_DOCUMENT_3,0.0002836444084031652
AMT_INCOME_TOTAL_MIN_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.00020156734850057813
AMT_INCOME_TOTAL_MEAN_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,0.00019203111929498183
ANNUITY_INCOME_RATIO_MAX_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,0.00017766882278788434
B_DAYS_CREDIT_ENDDATE_MIN_OVERALL,0.0001521581476437501
CREDIT_ANNUITY_RATIO,0.00014047072772064304
AMT_ANNUITY_MIN_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.00013115184203530724
AGE_EMPLOYED_DIFF_MEAN_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.00011056195770880161
ANNUITY_INCOME_RATIO_MAX_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.00011025422101538716
AMT_ANNUITY_MAX_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.00010525131587336444
