Feature,Importance,SGD,XGB,LGBM,Stacking
CNT_CHILDREN,0.0,0.0,0.0,0.0,0.0
AMT_INCOME_TOTAL,0.0,0.0,0.0,0.0,0.0
AMT_CREDIT,0.0,0.0,0.0,0.0,0.0
AMT_ANNUITY,0.0,0.0,0.0,0.0,0.0
AMT_GOODS_PRICE,0.0,0.0,0.0,0.0,0.0
DAYS_BIRTH,0.0,0.0,0.0,0.0,0.0
DAYS_EMPLOYED,0.0,0.0,0.0,0.0,0.0
DAYS_REGISTRATION,0.0,0.0,0.0,0.0,0.0
DAYS_ID_PUBLISH,0.0,0.0,0.0,0.0,0.0
OWN_CAR_AGE,0.0,0.0,0.0,0.0,0.0
FLAG_EMP_PHONE,0.0,0.0,0.0,0.0,0.0
FLAG_WORK_PHONE,0.0,0.0,0.0,0.0,0.0
FLAG_PHONE,0.0,0.0,0.0,0.0,0.0
FLAG_EMAIL,0.0,0.0,0.0,0.0,0.0
CNT_FAM_MEMBERS,0.0,0.0,0.0,0.0,0.0
REGION_RATING_CLIENT,0.0,0.0,0.0,0.0,0.0
REGION_RATING_CLIENT_W_CITY,0.0,0.0,0.0,0.0,0.0
HOUR_APPR_PROCESS_START,0.0,0.0,0.0,0.0,0.0
REG_REGION_NOT_LIVE_REGION,0.0,0.0,0.0,0.0,0.0
REG_REGION_NOT_WORK_REGION,0.0,0.0,0.0,0.0,0.0
LIVE_REGION_NOT_WORK_REGION,0.0,0.0,0.0,0.0,0.0
REG_CITY_NOT_LIVE_CITY,0.0,0.0,0.0,0.0,0.0
REG_CITY_NOT_WORK_CITY,0.0,0.0,0.0,0.0,0.0
LIVE_CITY_NOT_WORK_CITY,0.0,0.0,0.0,0.0,0.0
EXT_SOURCE_1,0.0,0.0,0.0,0.0,0.0
EXT_SOURCE_2,0.0,0.0,0.0,0.0,0.0
EXT_SOURCE_3,0.0,0.0,0.0,0.0,0.0
YEARS_BEGINEXPLUATATION_AVG,0.0,0.0,0.0,0.0,0.0
YEARS_BUILD_AVG,0.0,0.0,0.0,0.0,0.0
ENTRANCES_AVG,0.0,0.0,0.0,0.0,0.0
FLOORSMAX_AVG,0.0,0.0,0.0,0.0,0.0
FLOORSMIN_AVG,0.0,0.0,0.0,0.0,0.0
YEARS_BEGINEXPLUATATION_MODE,0.0,0.0,0.0,0.0,0.0
YEARS_BUILD_MODE,0.0,0.0,0.0,0.0,0.0
ENTRANCES_MODE,0.0,0.0,0.0,0.0,0.0
FLOORSMAX_MODE,0.0,0.0,0.0,0.0,0.0
FLOORSMIN_MODE,0.0,0.0,0.0,0.0,0.0
YEARS_BEGINEXPLUATATION_MEDI,0.0,0.0,0.0,0.0,0.0
YEARS_BUILD_MEDI,0.0,0.0,0.0,0.0,0.0
ENTRANCES_MEDI,0.0,0.0,0.0,0.0,0.0
FLOORSMAX_MEDI,0.0,0.0,0.0,0.0,0.0
FLOORSMIN_MEDI,0.0,0.0,0.0,0.0,0.0
OBS_30_CNT_SOCIAL_CIRCLE,0.0,0.0,0.0,0.0,0.0
DEF_30_CNT_SOCIAL_CIRCLE,0.0,0.0,0.0,0.0,0.0
OBS_60_CNT_SOCIAL_CIRCLE,0.0,0.0,0.0,0.0,0.0
DEF_60_CNT_SOCIAL_CIRCLE,0.0,0.0,0.0,0.0,0.0
DAYS_LAST_PHONE_CHANGE,0.0,0.0,0.0,0.0,0.0
FLAG_DOCUMENT_3,0.0,0.0,0.0,0.0,0.0
FLAG_DOCUMENT_5,0.0,0.0,0.0,0.0,0.0
FLAG_DOCUMENT_6,0.0,0.0,0.0,0.0,0.0
FLAG_DOCUMENT_8,0.0,0.0,0.0,0.0,0.0
AMT_REQ_CREDIT_BUREAU_DAY,0.0,0.0,0.0,0.0,0.0
AMT_REQ_CREDIT_BUREAU_WEEK,0.0,0.0,0.0,0.0,0.0
AMT_REQ_CREDIT_BUREAU_MON,0.0,0.0,0.0,0.0,0.0
AMT_REQ_CREDIT_BUREAU_QRT,0.0,0.0,0.0,0.0,0.0
AMT_REQ_CREDIT_BUREAU_YEAR,0.0,0.0,0.0,0.0,0.0
CREDIT_INCOME_RATIO,0.0,0.0,0.0,0.0,0.0
CREDIT_ANNUITY_RATIO,0.0,0.0,0.0,0.0,0.0
INCOME_ANNUITY_DIFF,0.0,0.0,0.0,0.0,0.0
CREDIT_GOODS_RATIO,0.0,0.0,0.0,0.0,0.0
CREDIT_GOODS_DIFF,0.0,0.0,0.0,0.0,0.0
GOODS_INCOME_RATIO,0.0,0.0,0.0,0.0,0.0
INCOME_EXT_RATIO,0.0,0.0,0.0,0.0,0.0
CREDIT_EXT_RATIO,0.0,0.0,0.0,0.0,0.0
AGE_EMPLOYED_DIFF,0.0,0.0,0.0,0.0,0.0
EMPLOYED_TO_AGE_RATIO,0.0,0.0,0.0,0.0,0.0
CAR_EMPLOYED_DIFF,0.0,0.0,0.0,0.0,0.0
CAR_EMPLOYED_RATIO,0.0,0.0,0.0,0.0,0.0
CAR_AGE_DIFF,0.0,0.0,0.0,0.0,0.0
CAR_AGE_RATIO,0.0,0.0,0.0,0.0,0.0
FLAG_CONTACTS_SUM,0.0,0.0,0.0,0.0,0.0
HOUR_PROCESS_CREDIT_MUL,0.0,0.0,0.0,0.0,0.0
CNT_NON_CHILDREN,0.0,0.0,0.0,0.0,0.0
PER_CAPITA_INCOME,0.0,0.0,0.0,0.0,0.0
REGIONS_RATING_INCOME_MUL,0.0,0.0,0.0,0.0,0.0
REGION_RATING_MAX,0.0,0.0,0.0,0.0,0.0
REGION_RATING_MIN,0.0,0.0,0.0,0.0,0.0
REGION_RATING_MEAN,0.0,0.0,0.0,0.0,0.0
REGION_RATING_MUL,0.0,0.0,0.0,0.0,0.0
FLAG_REGIONS_SUM,0.0,0.0,0.0,0.0,0.0
EXT_SOURCE_MEAN,0.0,0.0,0.0,0.0,0.0
EXT_SOURCE_MAX,0.0,0.0,0.0,0.0,0.0
EXT_SOURCE_MIN,0.0,0.0,0.0,0.0,0.0
WEIGHTED_EXT_SOURCE,0.0,0.0,0.0,0.0,0.0
APARTMENTS_SUM_AVG,0.0,0.0,0.0,0.0,0.0
INCOME_APARTMENT_AVG_MUL,0.0,0.0,0.0,0.0,0.0
APARTMENTS_SUM_MODE,0.0,0.0,0.0,0.0,0.0
INCOME_APARTMENT_MODE_MUL,0.0,0.0,0.0,0.0,0.0
APARTMENTS_SUM_MEDI,0.0,0.0,0.0,0.0,0.0
INCOME_APARTMENT_MEDI_MUL,0.0,0.0,0.0,0.0,0.0
OBS_30_60_SUM,0.0,0.0,0.0,0.0,0.0
DEF_30_60_SUM,0.0,0.0,0.0,0.0,0.0
OBS_DEF_30_MUL,0.0,0.0,0.0,0.0,0.0
OBS_DEF_60_MUL,0.0,0.0,0.0,0.0,0.0
SUM_OBS_DEF_ALL,0.0,0.0,0.0,0.0,0.0
OBS_30_CREDIT_RATIO,0.0,0.0,0.0,0.0,0.0
OBS_60_CREDIT_RATIO,0.0,0.0,0.0,0.0,0.0
DEF_30_CREDIT_RATIO,0.0,0.0,0.0,0.0,0.0
DEF_60_CREDIT_RATIO,0.0,0.0,0.0,0.0,0.0
SUM_FLAGS_DOCUMENTS,0.0,0.0,0.0,0.0,0.0
DAYS_DETAILS_CHANGE_SUM,0.0,0.0,0.0,0.0,0.0
AMT_ENQ_SUM,0.0,0.0,0.0,0.0,0.0
MISSING_VALS_TOTAL_APP,0.0,0.0,0.0,0.0,0.0
AMT_ANNUITY_MEAN_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0,0.0,0.0,0.0,0.0
AMT_ANNUITY_MAX_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0,0.0,0.0,0.0,0.0
AMT_ANNUITY_MIN_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0,0.0,0.0,0.0,0.0
ANNUITY_INCOME_RATIO_MAX_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0,0.0,0.0,0.0,0.0
AGE_EMPLOYED_DIFF_MEAN_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0,0.0,0.0,0.0,0.0
AGE_EMPLOYED_DIFF_MIN_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0,0.0,0.0,0.0,0.0
AMT_INCOME_TOTAL_MEAN_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0,0.0,0.0,0.0,0.0
AMT_INCOME_TOTAL_MAX_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0,0.0,0.0,0.0,0.0
AMT_INCOME_TOTAL_MIN_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0,0.0,0.0,0.0,0.0
AMT_ANNUITY_MEAN_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.0,0.0,0.0,0.0,0.0
AMT_ANNUITY_MAX_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.0,0.0,0.0,0.0,0.0
AMT_ANNUITY_MIN_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.0,0.0,0.0,0.0,0.0
ANNUITY_INCOME_RATIO_MAX_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.0,0.0,0.0,0.0,0.0
AGE_EMPLOYED_DIFF_MEAN_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.0,0.0,0.0,0.0,0.0
AGE_EMPLOYED_DIFF_MIN_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.0,0.0,0.0,0.0,0.0
AMT_INCOME_TOTAL_MEAN_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.0,0.0,0.0,0.0,0.0
AMT_INCOME_TOTAL_MAX_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.0,0.0,0.0,0.0,0.0
AMT_INCOME_TOTAL_MIN_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.0,0.0,0.0,0.0,0.0
AMT_ANNUITY_MEAN_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,0.0,0.0,0.0,0.0,0.0
AMT_ANNUITY_MAX_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,0.0,0.0,0.0,0.0,0.0
AMT_ANNUITY_MIN_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,0.0,0.0,0.0,0.0,0.0
ANNUITY_INCOME_RATIO_MAX_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,0.0,0.0,0.0,0.0,0.0
AGE_EMPLOYED_DIFF_MEAN_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,0.0,0.0,0.0,0.0,0.0
AGE_EMPLOYED_DIFF_MIN_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,0.0,0.0,0.0,0.0,0.0
AMT_INCOME_TOTAL_MEAN_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,0.0,0.0,0.0,0.0,0.0
AMT_INCOME_TOTAL_MAX_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,0.0,0.0,0.0,0.0,0.0
AMT_INCOME_TOTAL_MIN_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,0.0,0.0,0.0,0.0,0.0
AMT_ANNUITY_MEAN_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0,0.0,0.0,0.0,0.0
AMT_ANNUITY_MAX_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0,0.0,0.0,0.0,0.0
AMT_ANNUITY_MIN_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0,0.0,0.0,0.0,0.0
ANNUITY_INCOME_RATIO_MAX_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0,0.0,0.0,0.0,0.0
AGE_EMPLOYED_DIFF_MEAN_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0,0.0,0.0,0.0,0.0
AGE_EMPLOYED_DIFF_MIN_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0,0.0,0.0,0.0,0.0
AMT_INCOME_TOTAL_MEAN_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0,0.0,0.0,0.0,0.0
AMT_INCOME_TOTAL_MAX_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0,0.0,0.0,0.0,0.0
AMT_INCOME_TOTAL_MIN_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0,0.0,0.0,0.0,0.0
AMT_ANNUITY_MEAN_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,0.0,0.0,0.0,0.0,0.0
AMT_ANNUITY_MAX_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,0.0,0.0,0.0,0.0,0.0
AMT_ANNUITY_MIN_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,0.0,0.0,0.0,0.0,0.0
ANNUITY_INCOME_RATIO_MAX_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,0.0,0.0,0.0,0.0,0.0
AGE_EMPLOYED_DIFF_MEAN_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,0.0,0.0,0.0,0.0,0.0
AGE_EMPLOYED_DIFF_MIN_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,0.0,0.0,0.0,0.0,0.0
AMT_INCOME_TOTAL_MEAN_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,0.0,0.0,0.0,0.0,0.0
AMT_INCOME_TOTAL_MAX_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,0.0,0.0,0.0,0.0,0.0
AMT_INCOME_TOTAL_MIN_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,0.0,0.0,0.0,0.0,0.0
AMT_ANNUITY_MEAN_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.0,0.0,0.0,0.0,0.0
AMT_ANNUITY_MAX_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.0,0.0,0.0,0.0,0.0
AMT_ANNUITY_MIN_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.0,0.0,0.0,0.0,0.0
ANNUITY_INCOME_RATIO_MAX_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.0,0.0,0.0,0.0,0.0
AGE_EMPLOYED_DIFF_MEAN_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.0,0.0,0.0,0.0,0.0
AMT_INCOME_TOTAL_MEAN_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.0,0.0,0.0,0.0,0.0
AMT_INCOME_TOTAL_MAX_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.0,0.0,0.0,0.0,0.0
AMT_INCOME_TOTAL_MIN_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.0,0.0,0.0,0.0,0.0
B_DAYS_CREDIT_MEAN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_DAYS_CREDIT_MAX_OVERALL,0.0,0.0,0.0,0.0,0.0
B_DAYS_CREDIT_MIN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_DAYS_CREDIT_SUM_OVERALL,0.0,0.0,0.0,0.0,0.0
B_DAYS_CREDIT_STD_OVERALL,0.0,0.0,0.0,0.0,0.0
B_CREDIT_DAY_OVERDUE_MEAN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_CREDIT_DAY_OVERDUE_MAX_OVERALL,0.0,0.0,0.0,0.0,0.0
B_CREDIT_DAY_OVERDUE_MIN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_CREDIT_DAY_OVERDUE_SUM_OVERALL,0.0,0.0,0.0,0.0,0.0
B_CREDIT_DAY_OVERDUE_STD_OVERALL,0.0,0.0,0.0,0.0,0.0
B_DAYS_CREDIT_ENDDATE_MEAN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_DAYS_CREDIT_ENDDATE_MAX_OVERALL,0.0,0.0,0.0,0.0,0.0
B_DAYS_CREDIT_ENDDATE_MIN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_DAYS_CREDIT_ENDDATE_SUM_OVERALL,0.0,0.0,0.0,0.0,0.0
B_DAYS_CREDIT_ENDDATE_STD_OVERALL,0.0,0.0,0.0,0.0,0.0
B_DAYS_ENDDATE_FACT_MEAN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_DAYS_ENDDATE_FACT_MAX_OVERALL,0.0,0.0,0.0,0.0,0.0
B_DAYS_ENDDATE_FACT_MIN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_DAYS_ENDDATE_FACT_SUM_OVERALL,0.0,0.0,0.0,0.0,0.0
B_DAYS_ENDDATE_FACT_STD_OVERALL,0.0,0.0,0.0,0.0,0.0
B_AMT_CREDIT_MAX_OVERDUE_MEAN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_AMT_CREDIT_MAX_OVERDUE_MAX_OVERALL,0.0,0.0,0.0,0.0,0.0
B_AMT_CREDIT_MAX_OVERDUE_MIN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_AMT_CREDIT_MAX_OVERDUE_SUM_OVERALL,0.0,0.0,0.0,0.0,0.0
B_AMT_CREDIT_MAX_OVERDUE_STD_OVERALL,0.0,0.0,0.0,0.0,0.0
B_CNT_CREDIT_PROLONG_MAX_OVERALL,0.0,0.0,0.0,0.0,0.0
B_CNT_CREDIT_PROLONG_SUM_OVERALL,0.0,0.0,0.0,0.0,0.0
B_AMT_CREDIT_SUM_MEAN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_AMT_CREDIT_SUM_MAX_OVERALL,0.0,0.0,0.0,0.0,0.0
B_AMT_CREDIT_SUM_MIN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_AMT_CREDIT_SUM_SUM_OVERALL,0.0,0.0,0.0,0.0,0.0
B_AMT_CREDIT_SUM_STD_OVERALL,0.0,0.0,0.0,0.0,0.0
B_AMT_CREDIT_SUM_DEBT_MEAN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_AMT_CREDIT_SUM_DEBT_MAX_OVERALL,0.0,0.0,0.0,0.0,0.0
B_AMT_CREDIT_SUM_DEBT_MIN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_AMT_CREDIT_SUM_DEBT_SUM_OVERALL,0.0,0.0,0.0,0.0,0.0
B_AMT_CREDIT_SUM_DEBT_STD_OVERALL,0.0,0.0,0.0,0.0,0.0
B_AMT_CREDIT_SUM_LIMIT_MEAN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_AMT_CREDIT_SUM_LIMIT_MAX_OVERALL,0.0,0.0,0.0,0.0,0.0
B_AMT_CREDIT_SUM_LIMIT_MIN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_AMT_CREDIT_SUM_LIMIT_SUM_OVERALL,0.0,0.0,0.0,0.0,0.0
B_AMT_CREDIT_SUM_LIMIT_STD_OVERALL,0.0,0.0,0.0,0.0,0.0
B_AMT_CREDIT_SUM_OVERDUE_MEAN_OVERALL,0.0,0.0,0.0,0.0,0.0
B_AMT_CREDIT_SUM_OVERDUE_MAX_OVERALL,0.0,0.0,0.0,0.0,0.0
