feature,importance
CREDIT_ANNUITY_RATIO,2770
WEIGHTED_EXT_SOURCE,1137
CREDIT_GOODS_RATIO,1036
AMT_ANNUITY,942
DAYS_BIRTH,939
EXT_SOURCE_1,907
AGE_EMPLOYED_DIFF,893
B_B_CURRENT_DEBT_TO_CREDIT_RATIO_MAX_OVERALL,838
DAYS_ID_PUBLISH,775
EXT_SOURCE_MIN,760
DEF_30_CREDIT_RATIO,749
EXT_SOURCE_2,683
CREDIT_EXT_RATIO,663
B_B_CURRENT_CREDIT_DEBT_DIFF_MIN_OVERALL,662
CREDIT_GOODS_DIFF,648
B_AMT_CREDIT_SUM_MAX_OVERALL,643
DAYS_EMPLOYED,626
B_B_CURRENT_DEBT_TO_CREDIT_RATIO_SUM_OVERALL,589
B_B_CURRENT_DEBT_TO_CREDIT_RATIO_STD_OVERALL,580
AGE_EMPLOYED_DIFF_MEAN_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,576
INCOME_EXT_RATIO,572
DAYS_LAST_PHONE_CHANGE,570
B_B_CURRENT_CREDIT_DEBT_DIFF_MEAN_OVERALL,566
AMT_INCOME_TOTAL_MEAN_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,549
EXT_SOURCE_3,543
DAYS_DETAILS_CHANGE_SUM,530
EXT_SOURCE_MAX,529
AGE_EMPLOYED_DIFF_MEAN_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,517
B_DAYS_CREDIT_MAX_OVERALL,463
HOUR_PROCESS_CREDIT_MUL,455
ANNUITY_INCOME_RATIO_MAX_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,444
OBS_60_CREDIT_RATIO,439
ANNUITY_INCOME_RATIO_MAX_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,426
B_B_CREDIT_DURATION_MIN_CA_CLOSED,413
B_DAYS_CREDIT_ENDDATE_MEAN_OVERALL,410
B_DAYS_ENDDATE_FACT_MAX_OVERALL,396
B_AMT_CREDIT_SUM_MEAN_OVERALL,394
B_B_CURRENT_CREDIT_DEBT_DIFF_MAX_OVERALL,394
B_AMT_CREDIT_SUM_DEBT_MEAN_OVERALL,387
AMT_INCOME_TOTAL_MEAN_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,384
B_DAYS_CREDIT_MAX_CA_ACTIVE,369
B_DAYS_CREDIT_MEAN_OVERALL,361
B_DAYS_CREDIT_UPDATE_MAX_OVERALL,350
REGION_RATING_MUL,348
B_DAYS_CREDIT_MAX_CA_CLOSED,336
B_B_CREDIT_DURATION_SUM_OVERALL,322
CAR_EMPLOYED_DIFF,315
INCOME_APARTMENT_MODE_MUL,311
CAR_AGE_DIFF,307
AMT_ANNUITY_MIN_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,289
B_DAYS_CREDIT_UPDATE_MEAN_OVERALL,286
B_DAYS_CREDIT_ENDDATE_MEAN_CA_CLOSED,285
B_DAYS_CREDIT_SUM_OVERALL,278
AMT_INCOME_TOTAL_MAX_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,276
B_CREDIT_TYPE_CONSUMER CREDIT_MEAN,268
B_DAYS_CREDIT_STD_OVERALL,267
AMT_ANNUITY_MIN_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,260
B_DAYS_CREDIT_ENDDATE_MIN_OVERALL,259
B_AMT_CREDIT_SUM_MAX_CA_CLOSED,258
ANNUITY_INCOME_RATIO_MAX_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,255
B_AMT_CREDIT_SUM_SUM_CA_CLOSED,253
B_DAYS_ENDDATE_FACT_STD_OVERALL,252
APARTMENTS_SUM_MODE,248
B_AMT_CREDIT_SUM_MEAN_CA_CLOSED,239
B_B_CREDIT_DURATION_MEAN_CA_CLOSED,235
AMT_ANNUITY_MAX_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,230
B_DAYS_CREDIT_UPDATE_STD_OVERALL,227
AMT_ANNUITY_MAX_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,222
OWN_CAR_AGE,207
B_DAYS_CREDIT_MIN_CA_CLOSED,203
AGE_EMPLOYED_DIFF_MIN_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,202
B_CREDIT_ACTIVE_CLOSED_MEAN,197
AMT_ANNUITY_MIN_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,193
AMT_ANNUITY_MIN_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,192
ENTRANCES_AVG,192
AMT_INCOME_TOTAL_MAX_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,186
AGE_EMPLOYED_DIFF_MEAN_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,186
ANNUITY_INCOME_RATIO_MAX_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,185
ANNUITY_INCOME_RATIO_MAX_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,178
B_B_CREDIT_DURATION_MAX_CA_CLOSED,177
B_DAYS_CREDIT_ENDDATE_MIN_CA_CLOSED,175
AMT_INCOME_TOTAL_MIN_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,171
FLOORSMAX_MEDI,167
AMT_ANNUITY_MEAN_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,166
MISSING_VALS_TOTAL_APP,163
CAR_EMPLOYED_RATIO,162
FLAG_DOCUMENT_3,158
AMT_INCOME_TOTAL_MEAN_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,141
AMT_INCOME_TOTAL_MAX_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,140
AGE_EMPLOYED_DIFF_MIN_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,139
AMT_INCOME_TOTAL_MAX_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,137
AMT_ANNUITY_MEAN_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,137
AMT_ANNUITY_MAX_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,134
AMT_ANNUITY_MAX_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,129
