,number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0,0.7376670315547843,2025-04-06 18:08:57.605755,2025-04-06 18:10:48.390391,0 days 00:01:50.784636,0.798765711390395,0.026700978914781487,4,110,34,9.728991736790276e-05,0.00022423293872905954,0.6453077951904033,COMPLETE
1,1,0.7717544033554923,2025-04-06 18:10:48.404094,2025-04-06 18:20:29.967235,0 days 00:09:41.563141,0.7322154726312486,0.014496109917135515,11,950,30,0.0001999003959824839,0.0021369689072941738,0.8785415616137884,COMPLETE
2,2,0.7662270942697625,2025-04-06 18:20:29.980609,2025-04-06 18:26:01.362999,0 days 00:05:31.382390,0.7355127531029533,0.0725582014870468,7,626,81,0.028588347971442666,3.594607941052168e-08,0.6807000895082382,COMPLETE
3,3,0.765450888760179,2025-04-06 18:26:01.384226,2025-04-06 18:31:37.561465,0 days 00:05:36.177239,0.9854541061963421,0.07788328536113079,12,769,41,2.1754093288303968e-07,4.9299255812497355e-05,0.8369622650794899,COMPLETE
4,4,0.7627837187135659,2025-04-06 18:31:37.574511,2025-04-06 18:37:35.518311,0 days 00:05:57.943800,0.9994836805755383,0.02066794078513791,9,245,81,0.009592251360984438,1.9411412410166382e-05,0.8004992653868903,COMPLETE
5,5,0.7655502978387014,2025-04-06 18:37:35.529073,2025-04-06 18:42:41.882823,0 days 00:05:06.353750,0.8708628773186632,0.08949121557020841,9,395,62,0.10855289847658295,0.02515500578910862,0.9559709207637157,COMPLETE
6,6,0.7583325434623319,2025-04-06 18:42:41.895742,2025-04-06 18:46:26.105186,0 days 00:03:44.209444,0.9297424729341814,0.014044098362979018,4,651,60,0.0001672264327185618,1.4012915857994896e-05,0.6839016966370903,COMPLETE
7,7,0.7692505556984635,2025-04-06 18:46:26.118703,2025-04-06 18:58:02.106835,0 days 00:11:35.988132,0.6592404406625413,0.010314048904824897,8,813,78,1.034887707188947e-06,1.4684964315572802e-08,0.8312430656867311,COMPLETE
8,8,0.7721369547477058,2025-04-06 18:58:02.121832,2025-04-06 19:00:46.691733,0 days 00:02:44.569901,0.8995552681643295,0.06762128019060956,4,531,65,0.0002601816893581873,5.319889251656996e-08,0.6215121766160565,COMPLETE
9,9,0.7715090301236872,2025-04-06 19:00:46.713733,2025-04-06 19:04:27.398279,0 days 00:03:40.684546,0.8430850508915478,0.05465640726378422,9,309,43,5.371077056828399e-06,3.1412508270716945e-08,0.8397160619882347,COMPLETE
10,10,0.763962945464701,2025-04-06 19:04:27.410504,2025-04-06 19:06:37.315640,0 days 00:02:09.905136,0.6022981061191193,0.29984843608851175,3,492,94,4.3935091799076485e-08,0.3659644387699117,0.6116363464327652,COMPLETE
11,11,0.7728546174010708,2025-04-06 19:06:37.328128,2025-04-06 19:12:21.938019,0 days 00:05:44.609891,0.7456755979036089,0.03962241079905141,12,967,21,0.0004910502204435851,0.00263194654918167,0.9330952932104787,COMPLETE
12,12,0.7729909862081065,2025-04-06 19:12:21.959656,2025-04-06 19:19:34.532035,0 days 00:07:12.572379,0.764358289613356,0.03750884665538738,6,992,22,0.0021336866807711635,1.122199195451583e-06,0.9862499838056384,COMPLETE
13,13,0.7726396299890206,2025-04-06 19:19:34.554034,2025-04-06 19:25:11.608262,0 days 00:05:37.054228,0.7672224167105018,0.037123807484836305,6,990,20,0.0017730142049829517,1.3301293964837057e-06,0.99909709868596,COMPLETE
14,14,0.7611912374661277,2025-04-06 19:25:11.630729,2025-04-06 19:30:01.092582,0 days 00:04:49.461853,0.6880335438533962,0.1388730498968948,6,848,20,9.40036896420465e-06,1.0242026360132117e-06,0.92409096239502,COMPLETE
15,15,0.7723712375004167,2025-04-06 19:30:01.105073,2025-04-06 19:35:48.166639,0 days 00:05:47.061566,0.8213792889855515,0.03534257787292796,11,908,49,0.003152374624347986,0.0006362862522779789,0.9986789935831345,COMPLETE
16,16,0.7735032300769875,2025-04-06 19:35:48.177706,2025-04-06 19:41:25.348474,0 days 00:05:37.170768,0.6981262562462107,0.04552113698808936,6,720,29,0.6422397173044617,0.006774680469560964,0.9220228449823644,COMPLETE
17,17,0.7588154513329581,2025-04-06 19:41:25.360474,2025-04-06 19:45:11.750114,0 days 00:03:46.389640,0.6799186281294227,0.12810825218422106,6,703,52,0.22667247935858617,0.15329382744031778,0.7502022646908183,COMPLETE
18,18,0.771758883187642,2025-04-06 19:45:11.761112,2025-04-06 19:49:32.300482,0 days 00:04:20.539370,0.6128033550568772,0.026971836624807188,5,738,30,0.2508226643056202,1.5473899944405263e-06,0.8861853816523955,COMPLETE
19,19,0.7719544861967622,2025-04-06 19:49:32.313006,2025-04-06 19:55:34.429862,0 days 00:06:02.116856,0.777640829233532,0.049788644646044516,7,858,36,0.8482571672921276,0.016495206936349004,0.9591862104456794,COMPLETE
20,20,0.7680024849263779,2025-04-06 19:55:34.442799,2025-04-06 19:59:22.610070,0 days 00:03:48.167271,0.7039004389119082,0.10755064833259852,5,613,27,0.02657615831887923,1.9566939344966237e-07,0.8924564614510204,COMPLETE
21,21,0.7726818688835513,2025-04-06 19:59:22.623980,2025-04-06 20:05:02.751389,0 days 00:05:40.127409,0.7460510304553614,0.04074097450392017,8,999,20,0.002079348100961846,0.0028867859643728405,0.938097344133509,COMPLETE
22,22,0.7731973601854294,2025-04-06 20:05:02.772437,2025-04-06 20:10:35.367198,0 days 00:05:32.594761,0.6489429701930102,0.02665100500648788,12,898,26,3.602455443605757e-05,0.026184357598228025,0.9707819644813418,COMPLETE
23,23,0.7732372122111407,2025-04-06 20:10:35.380303,2025-04-06 20:17:00.931714,0 days 00:06:25.551411,0.6462157292388101,0.02205797130037406,10,856,38,2.396302520716718e-05,0.047393213586902745,0.9723082646122638,COMPLETE
24,24,0.7734591420270889,2025-04-06 20:17:00.944651,2025-04-06 20:22:43.119293,0 days 00:05:42.174642,0.6428055855339875,0.02084862719783242,10,884,41,2.0666671220995552e-05,0.05528753046843361,0.9098633048477078,COMPLETE
25,25,0.7729041393626798,2025-04-06 20:22:43.141290,2025-04-06 20:28:32.477836,0 days 00:05:49.336546,0.6376818052530296,0.01776116698382814,10,787,43,1.0942273769220555e-05,0.102635877919207,0.9089490778466671,COMPLETE
