feature,importance
AMT_INCOME_TOTAL_MEAN_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.9408166984890844
AMT_INCOME_TOTAL_MAX_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.604665168178247
AGE_EMPLOYED_DIFF_MEAN_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.5726520685971299
AMT_INCOME_TOTAL_MIN_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.48365391931443213
WEIGHTED_EXT_SOURCE,0.3218913346910882
AMT_ANNUITY_MAX_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.31325509729697953
ANNUITY_INCOME_RATIO_MAX_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.2954096351384043
EXT_SOURCE_1,0.26691459661028594
EXT_SOURCE_3,0.2363650981949218
B_B_CURRENT_CREDIT_DEBT_DIFF_MEAN_OVERALL,0.2351747477448964
DAYS_BIRTH,0.22233579044525886
AGE_EMPLOYED_DIFF_MEAN_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,0.20926203015414263
AGE_EMPLOYED_DIFF_MIN_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.20533791997520348
AGE_EMPLOYED_DIFF_MEAN_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.19326636967522126
AMT_INCOME_TOTAL_MEAN_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.1929016950762163
EXT_SOURCE_2,0.17669534725026656
B_B_CREDIT_DURATION_MEAN_CA_CLOSED,0.1718585538268967
B_CREDIT_ACTIVE_CLOSED_MEAN,0.15451022848660856
B_DAYS_CREDIT_MAX_OVERALL,0.14946711846491967
DAYS_EMPLOYED,0.13912559128817692
AMT_ANNUITY,0.13210001812432665
B_DAYS_CREDIT_MEAN_OVERALL,0.12823793251520427
DEF_30_CREDIT_RATIO,0.11068943669147976
