feature,importance
WEIGHTED_EXT_SOURCE,0.18156299
EXT_SOURCE_MIN,0.05081037
EXT_SOURCE_MAX,0.035629667
AMT_ANNUITY_MAX_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.028568609
AGE_EMPLOYED_DIFF_MEAN_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.021120466
CREDIT_GOODS_RATIO,0.019442122
ANNUITY_INCOME_RATIO_MAX_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.01895341
AMT_INCOME_TOTAL_MIN_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.017865803
B_B_CURRENT_CREDIT_DEBT_DIFF_MEAN_OVERALL,0.016372537
FLAG_DOCUMENT_3,0.016249085
B_CREDIT_ACTIVE_CLOSED_MEAN,0.0151605075
AMT_ANNUITY_MIN_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.014766594
AMT_INCOME_TOTAL_MEAN_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,0.014437102
CREDIT_GOODS_DIFF,0.013943137
B_B_CURRENT_CREDIT_DEBT_DIFF_MIN_OVERALL,0.013612123
AMT_INCOME_TOTAL_MEAN_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.013450036
AGE_EMPLOYED_DIFF,0.012602105
CREDIT_ANNUITY_RATIO,0.012591932
AGE_EMPLOYED_DIFF_MIN_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,0.010482184
B_B_CURRENT_CREDIT_DEBT_DIFF_MAX_OVERALL,0.009562129
AMT_INCOME_TOTAL_MEAN_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.009436977
ANNUITY_INCOME_RATIO_MAX_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.008984751
B_AMT_CREDIT_SUM_DEBT_MEAN_OVERALL,0.008818412
CAR_EMPLOYED_DIFF,0.008794139
REGION_RATING_MUL,0.008758305
EXT_SOURCE_1,0.008738793
FLOORSMAX_MEDI,0.008019623
AMT_ANNUITY,0.007572906
AGE_EMPLOYED_DIFF_MEAN_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.007177621
DAYS_EMPLOYED,0.007098308
DAYS_BIRTH,0.007092224
AGE_EMPLOYED_DIFF_MEAN_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,0.006955488
B_DAYS_CREDIT_MAX_CA_ACTIVE,0.006629895
REG_CITY_NOT_LIVE_CITY,0.0065557566
CREDIT_EXT_RATIO,0.0064750155
B_B_CURRENT_DEBT_TO_CREDIT_RATIO_MAX_OVERALL,0.0063617527
B_CREDIT_TYPE_CONSUMER CREDIT_MEAN,0.006324311
B_B_CURRENT_DEBT_TO_CREDIT_RATIO_SUM_OVERALL,0.00630538
DEF_30_CREDIT_RATIO,0.006023544
AMT_ANNUITY_MEAN_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.005985658
B_DAYS_CREDIT_MEAN_OVERALL,0.0059496043
B_DAYS_CREDIT_MAX_OVERALL,0.005942296
B_B_CREDIT_DURATION_MIN_CA_CLOSED,0.005888942
ANNUITY_INCOME_RATIO_MAX_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.005718505
MISSING_VALS_TOTAL_APP,0.0054079928
AGE_EMPLOYED_DIFF_MEAN_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.005342572
B_AMT_CREDIT_SUM_MAX_OVERALL,0.005316312
APARTMENTS_SUM_MODE,0.0052908207
B_DAYS_CREDIT_SUM_OVERALL,0.0051639467
B_DAYS_CREDIT_MAX_CA_CLOSED,0.005080797
AGE_EMPLOYED_DIFF_MIN_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.005071507
B_B_CREDIT_DURATION_SUM_OVERALL,0.005041036
INCOME_APARTMENT_MODE_MUL,0.0050362605
AMT_INCOME_TOTAL_MEAN_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,0.004990626
B_DAYS_CREDIT_UPDATE_STD_OVERALL,0.004986521
EXT_SOURCE_3,0.00498136
DAYS_ID_PUBLISH,0.0049647735
B_DAYS_CREDIT_STD_OVERALL,0.004960798
EXT_SOURCE_2,0.0049503474
AMT_INCOME_TOTAL_MAX_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,0.0048903483
AGE_EMPLOYED_DIFF_MEAN_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,0.0048401733
B_AMT_CREDIT_SUM_MEAN_OVERALL,0.004823404
B_DAYS_CREDIT_UPDATE_MEAN_OVERALL,0.0048083956
AMT_ANNUITY_MAX_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0047762273
B_B_CREDIT_DURATION_MEAN_CA_CLOSED,0.0047513973
ANNUITY_INCOME_RATIO_MAX_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,0.0047495924
B_AMT_CREDIT_SUM_MAX_CA_CLOSED,0.0047254493
B_DAYS_CREDIT_UPDATE_MAX_OVERALL,0.0046940474
B_CREDIT_ACTIVE_ACTIVE_MEAN,0.0046794415
DAYS_DETAILS_CHANGE_SUM,0.0046246913
AMT_INCOME_TOTAL_MAX_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.0046246103
ANNUITY_INCOME_RATIO_MAX_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,0.004622358
CAR_AGE_DIFF,0.004566616
AMT_INCOME_TOTAL_MEAN_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0045514046
AMT_ANNUITY_MAX_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.004504682
AMT_INCOME_TOTAL_MAX_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.004469463
AMT_ANNUITY_MIN_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.0044458047
HOUR_PROCESS_CREDIT_MUL,0.00436478
AMT_INCOME_TOTAL_MIN_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,0.004342656
B_DAYS_ENDDATE_FACT_STD_OVERALL,0.0043220315
B_DAYS_ENDDATE_FACT_MAX_OVERALL,0.0043098684
B_DAYS_CREDIT_ENDDATE_MIN_CA_CLOSED,0.0042967848
DAYS_LAST_PHONE_CHANGE,0.004271045
AMT_ANNUITY_MAX_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,0.004216291
OWN_CAR_AGE,0.004203335
AMT_INCOME_TOTAL_MEAN_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.004180122
AMT_INCOME_TOTAL_MAX_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.004158025
B_DAYS_CREDIT_ENDDATE_MEAN_CA_CLOSED,0.004148781
AMT_ANNUITY_MEAN_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.004138529
