Feature,Importance
WEIGHTED_EXT_SOURCE,0.3492178106318937
AGE_EMPLOYED_DIFF,0.08946800249484496
AMT_INCOME_TOTAL_MAX_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.07208528161139369
HOUR_PROCESS_CREDIT_MUL,0.06708684592608269
EXT_SOURCE_1,0.05352507743827891
CREDIT_GOODS_DIFF,0.05074450228384354
AMT_ANNUITY_MEAN_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.041023453639889546
AGE_EMPLOYED_DIFF_MIN_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,0.03584826772038098
AMT_ANNUITY,0.03517373733974866
APARTMENTS_SUM_MODE,0.031933892049408226
B_DAYS_CREDIT_UPDATE_MAX_OVERALL,0.022056896613481793
B_DAYS_CREDIT_ENDDATE_MIN_CA_CLOSED,0.019600338474579846
AMT_ANNUITY_MAX_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.018958378344290875
AMT_ANNUITY_MIN_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,0.013598283467581615
AMT_INCOME_TOTAL_MEAN_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.012897025440969713
B_DAYS_CREDIT_ENDDATE_MIN_OVERALL,0.012674548401045328
CAR_EMPLOYED_RATIO,0.00924030660508594
AMT_ANNUITY_MIN_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.009143727524702333
B_B_CURRENT_DEBT_TO_CREDIT_RATIO_SUM_OVERALL,0.007529058326788461
AMT_ANNUITY_MIN_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.006318118607944215
AMT_INCOME_TOTAL_MIN_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.006210440905349186
DAYS_EMPLOYED,0.005710743304372862
B_DAYS_ENDDATE_FACT_MAX_OVERALL,0.005296057991459142
AMT_ANNUITY_MAX_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,0.00391552933663147
FLAG_DOCUMENT_3,0.0038953484082594456
B_AMT_CREDIT_SUM_MAX_CA_CLOSED,0.0034989994772569857
AGE_EMPLOYED_DIFF_MEAN_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,0.00334490756322832
ANNUITY_INCOME_RATIO_MAX_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,0.002630841674459486
OWN_CAR_AGE,0.0024714803685070104
B_DAYS_ENDDATE_FACT_STD_OVERALL,0.0017936617933729969
B_DAYS_CREDIT_ENDDATE_MEAN_OVERALL,0.0010280467146324603
CREDIT_GOODS_RATIO,0.0008636532434145942
B_AMT_CREDIT_SUM_SUM_CA_CLOSED,0.0006415861744558221
AMT_ANNUITY_MIN_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,0.0001687678527381116
AMT_ANNUITY_MIN_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.00014449718678149603
AMT_INCOME_TOTAL_MEAN_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.00013003034765704703
AMT_INCOME_TOTAL_MEAN_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,4.652319119720552e-05
DAYS_DETAILS_CHANGE_SUM,2.5342697355196496e-05
CAR_AGE_DIFF,1.6969816858537246e-05
B_DAYS_CREDIT_MIN_CA_CLOSED,1.4200773896939713e-05
