Feature,Importance_Step_0
AGE_EMPLOYED_DIFF,0.3107077876951306
AMT_INCOME_TOTAL_MAX_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.24117846038574234
EXT_SOURCE_1,0.2371008922472077
B_DAYS_CREDIT_ENDDATE_MIN_OVERALL,0.08188880040060736
CAR_EMPLOYED_RATIO,0.04602875031366344
AMT_ANNUITY_MIN_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,0.040679134620635056
AMT_ANNUITY_MIN_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.01897834960571991
FLAG_DOCUMENT_3,0.01802709751253434
AMT_ANNUITY_MAX_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,0.003663293820577522
AMT_ANNUITY_MIN_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,0.0009920339394048352
AMT_ANNUITY_MIN_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0005260876804122126
CAR_AGE_DIFF,8.386528002359449e-05
B_DAYS_CREDIT_MIN_CA_CLOSED,4.755701742646427e-05
AGE_EMPLOYED_DIFF_MEAN_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,3.456604205117234e-05
AGE_EMPLOYED_DIFF_MEAN_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,1.8744209964761254e-05
AMT_INCOME_TOTAL_MEAN_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,1.2112409675967568e-05
AMT_ANNUITY_MIN_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,1.0454154806188876e-05
EXT_SOURCE_MAX,8.191591487474036e-06
AMT_ANNUITY,7.188197368645272e-06
AMT_ANNUITY_MAX_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,4.221485252748803e-06
B_AMT_CREDIT_SUM_MAX_CA_CLOSED,2.025992908088883e-06
B_B_CREDIT_DURATION_SUM_OVERALL,2.8401125753175137e-07
OWN_CAR_AGE,8.183839259033362e-08
B_DAYS_ENDDATE_FACT_MAX_OVERALL,1.9740610214788652e-08
AMT_ANNUITY_MAX_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0
ANNUITY_INCOME_RATIO_MAX_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0
AGE_EMPLOYED_DIFF_MEAN_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0
B_DAYS_CREDIT_ENDDATE_MEAN_OVERALL,0.0
AMT_ANNUITY_MIN_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.0
AMT_INCOME_TOTAL_MEAN_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.0
B_DAYS_CREDIT_MAX_OVERALL,0.0
DAYS_BIRTH,0.0
B_B_CURRENT_CREDIT_DEBT_DIFF_MEAN_OVERALL,0.0
B_DAYS_CREDIT_UPDATE_MEAN_OVERALL,0.0
B_CREDIT_ACTIVE_CLOSED_MEAN,0.0
CREDIT_EXT_RATIO,0.0
B_B_CURRENT_DEBT_TO_CREDIT_RATIO_MAX_OVERALL,0.0
AMT_ANNUITY_MAX_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0
CREDIT_GOODS_RATIO,0.0
EXT_SOURCE_MIN,0.0
INCOME_EXT_RATIO,0.0
B_B_CURRENT_CREDIT_DEBT_DIFF_MIN_OVERALL,0.0
DAYS_EMPLOYED,0.0
WEIGHTED_EXT_SOURCE,0.0
EXT_SOURCE_3,0.0
EXT_SOURCE_2,0.0
CREDIT_ANNUITY_RATIO,0.0
B_DAYS_CREDIT_MEAN_OVERALL,0.0
B_B_CURRENT_CREDIT_DEBT_DIFF_MAX_OVERALL,0.0
AGE_EMPLOYED_DIFF_MEAN_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,0.0
B_DAYS_CREDIT_ENDDATE_MEAN_CA_CLOSED,0.0
B_DAYS_CREDIT_ENDDATE_MIN_CA_CLOSED,0.0
ANNUITY_INCOME_RATIO_MAX_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,0.0
AMT_INCOME_TOTAL_MEAN_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0
ANNUITY_INCOME_RATIO_MAX_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.0
DAYS_DETAILS_CHANGE_SUM,0.0
ANNUITY_INCOME_RATIO_MAX_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.0
B_DAYS_CREDIT_MAX_CA_ACTIVE,0.0
AMT_INCOME_TOTAL_MAX_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.0
B_B_CURRENT_DEBT_TO_CREDIT_RATIO_STD_OVERALL,0.0
B_CREDIT_ACTIVE_ACTIVE_MEAN,0.0
AMT_ANNUITY_MEAN_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0
AMT_INCOME_TOTAL_MAX_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0
AMT_INCOME_TOTAL_MAX_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0
B_B_CURRENT_DEBT_TO_CREDIT_RATIO_SUM_OVERALL,0.0
AGE_EMPLOYED_DIFF_MIN_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.0
B_DAYS_CREDIT_SUM_OVERALL,0.0
AMT_INCOME_TOTAL_MEAN_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,0.0
B_DAYS_CREDIT_UPDATE_MAX_OVERALL,0.0
B_B_CREDIT_DURATION_MIN_CA_CLOSED,0.0
AMT_INCOME_TOTAL_MIN_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,0.0
B_AMT_CREDIT_SUM_MEAN_CA_CLOSED,0.0
REGION_RATING_MUL,0.0
MISSING_VALS_TOTAL_APP,0.0
B_DAYS_CREDIT_MAX_CA_CLOSED,0.0
AMT_INCOME_TOTAL_MEAN_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,0.0
AMT_INCOME_TOTAL_MAX_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,0.0
AGE_EMPLOYED_DIFF_MIN_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,0.0
DEF_30_CREDIT_RATIO,0.0
B_AMT_CREDIT_SUM_SUM_CA_CLOSED,0.0
B_DAYS_CREDIT_STD_OVERALL,0.0
B_B_CREDIT_DURATION_MAX_CA_CLOSED,0.0
B_B_CREDIT_DURATION_MEAN_CA_CLOSED,0.0
DAYS_LAST_PHONE_CHANGE,0.0
B_DAYS_ENDDATE_FACT_STD_OVERALL,0.0
AGE_EMPLOYED_DIFF_MEAN_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.0
AGE_EMPLOYED_DIFF_MIN_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0
ANNUITY_INCOME_RATIO_MAX_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,0.0
B_DAYS_CREDIT_UPDATE_STD_OVERALL,0.0
ANNUITY_INCOME_RATIO_MAX_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0
CREDIT_GOODS_DIFF,0.0
AMT_INCOME_TOTAL_MEAN_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0
AMT_ANNUITY_MEAN_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.0
AMT_INCOME_TOTAL_MIN_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0
AMT_INCOME_TOTAL_MAX_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,0.0
AMT_INCOME_TOTAL_MIN_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,0.0
AMT_INCOME_TOTAL_MIN_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,0.0
INCOME_APARTMENT_MODE_MUL,0.0
REG_CITY_NOT_WORK_CITY,0.0
HOUR_PROCESS_CREDIT_MUL,0.0
DAYS_ID_PUBLISH,0.0
FLOORSMAX_MEDI,0.0
APARTMENTS_SUM_MODE,0.0
FLAG_REGIONS_SUM,0.0
OBS_60_CREDIT_RATIO,0.0
B_AMT_CREDIT_SUM_MAX_OVERALL,0.0
CAR_EMPLOYED_DIFF,0.0
B_AMT_CREDIT_SUM_MEAN_OVERALL,0.0
ENTRANCES_AVG,0.0
REG_CITY_NOT_LIVE_CITY,0.0
B_CREDIT_TYPE_CONSUMER CREDIT_MEAN,0.0
B_AMT_CREDIT_SUM_DEBT_MEAN_OVERALL,0.0
