Feature,Importance
EXT_SOURCE_MAX,0.22374456215004745
B_AMT_CREDIT_SUM_OVERDUE_MEAN_CA_BAD_DEBT,0.18835178691395765
B_DAYS_CREDIT_MEAN_CA_BAD_DEBT,0.10203699276419219
AMT_ANNUITY,0.08521351338899633
B_AMT_CREDIT_MAX_OVERDUE_STD_OVERALL,0.04789678006135412
AMT_ANNUITY_MAX_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.03878826450438234
B_DAYS_CREDIT_MIN_CA_ACTIVE,0.03371673584424776
B_AMT_CREDIT_SUM_OVERDUE_SUM_CA_ACTIVE,0.03003166625120579
B_DAYS_CREDIT_ENDDATE_SUM_OVERALL,0.025642684429844926
B_BB_EXP_ENCODED_STATUS_LAST_YEAR_0_STD_OVERALL,0.019829454483313438
AMT_INCOME_TOTAL_MEAN_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,0.0189129025782616
B_BB_STATUS_ENCODED_LAST_YEAR_REST_MAX_OVERALL,0.01823452610101136
SUM_OBS_DEF_ALL,0.016204215475531664
B_CREDIT_DAY_OVERDUE_SUM_OVERALL,0.015594598310510672
B_AMT_CREDIT_SUM_OVERDUE_MAX_CA_BAD_DEBT,0.015594438379240183
B_AMT_CREDIT_SUM_OVERDUE_MEAN_CA_CLOSED,0.01558253573332697
FLAG_DOCUMENT_6,0.010732587601249203
B_BB_WEIGHTED_STATUS_MAX_YEAR_REST_SUM_OVERALL,0.00946886000827038
B_BB_WEIGHTED_STATUS_MEAN_YEAR_0_MAX_OVERALL,0.0072078671386516914
B_AMT_CREDIT_SUM_OVERDUE_MAX_CA_CLOSED,0.006729074284536155
FLAG_EMP_PHONE,0.005956212395725622
B_BB_STATUS_ENCODED_LAST_YEAR_0_STD_OVERALL,0.005698242790358489
B_BB_MONTHS_BALANCE_POS_COUNT_MEAN_CA_CLOSED,0.005373287254955071
B_BB_EXP_WEIGHTED_STATUS_LAST_YEAR_0_MAX_OVERALL,0.005242197577222704
B_BB_STATUS_ENCODED_MAX_MEAN_OVERALL,0.005030816074320665
B_AMT_CREDIT_SUM_MAX_CA_ACTIVE,0.004234693785181807
B_AMT_CREDIT_SUM_OVERDUE_MEAN_OVERALL,0.003735728813255606
YEARS_BEGINEXPLUATATION_MEDI,0.003507991151650581
B_AMT_ANNUITY_MAX_CA_ACTIVE,0.003236119584874626
AMT_ANNUITY_MAX_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,0.0031192221497728916
B_BB_EXP_ENCODED_STATUS_LAST_MIN_OVERALL,0.0026503218005354445
