Feature,Importance
EXT_SOURCE_MIN,0.5850287491794376
FLAG_DOCUMENT_3,0.19997911511126756
EXT_SOURCE_3,0.05554133963836682
EXT_SOURCE_MAX,0.05515693892452094
WEIGHTED_EXT_SOURCE,0.04048274431112803
AMT_ANNUITY,0.029379824696341227
AMT_ANNUITY_MAX_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,0.01481495221328139
B_AMT_CREDIT_SUM_MAX_OVERALL,0.00987114168271254
B_DAYS_CREDIT_UPDATE_STD_OVERALL,0.003590547491172674
B_DAYS_CREDIT_MIN_CA_CLOSED,0.0018608353899634525
B_DAYS_CREDIT_MAX_CA_ACTIVE,0.0016086439122073243
DAYS_EMPLOYED,0.0011159812943109305
B_AMT_CREDIT_SUM_DEBT_MEAN_OVERALL,0.0005242967906021728
AGE_EMPLOYED_DIFF_MIN_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0002758165066149212
AMT_ANNUITY_MAX_AGG_NAME_EDUCATION_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.0002517720396883765
B_B_CREDIT_DURATION_MEAN_CA_CLOSED,0.00016337963455015375
B_B_CURRENT_DEBT_TO_CREDIT_RATIO_STD_OVERALL,6.741971838138185e-05
B_DAYS_CREDIT_MAX_OVERALL,6.096434817564314e-05
B_DAYS_CREDIT_MAX_CA_CLOSED,5.370658301645328e-05
B_DAYS_CREDIT_ENDDATE_MEAN_CA_CLOSED,3.984384471975937e-05
ANNUITY_INCOME_RATIO_MAX_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,3.107027421397351e-05
DAYS_DETAILS_CHANGE_SUM,1.7414113457767435e-05
REG_CITY_NOT_WORK_CITY,1.536953604015058e-05
B_B_CURRENT_CREDIT_DEBT_DIFF_MAX_OVERALL,1.410353138406241e-05
AMT_INCOME_TOTAL_MAX_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,1.385605117239869e-05
AMT_ANNUITY_MIN_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,7.64634913697026e-06
B_DAYS_ENDDATE_FACT_MAX_OVERALL,5.498374560112627e-06
CREDIT_GOODS_RATIO,5.176493102835354e-06
FLOORSMAX_MEDI,4.949996165193871e-06
AMT_INCOME_TOTAL_MIN_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,3.1122884354087776e-06
AMT_ANNUITY_MIN_AGG_CODE_GENDER_FLAG_OWN_CAR_FLAG_OWN_REALTY,3.0626158044176083e-06
OBS_60_CREDIT_RATIO,2.7554628517696973e-06
B_AMT_CREDIT_SUM_SUM_CA_CLOSED,1.6548101613724964e-06
CAR_EMPLOYED_DIFF,1.4774432489014845e-06
EXT_SOURCE_1,1.1661352240942121e-06
ANNUITY_INCOME_RATIO_MAX_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,9.879519643603546e-07
ANNUITY_INCOME_RATIO_MAX_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,7.109072066075558e-07
MISSING_VALS_TOTAL_APP,6.925381700614105e-07
