Feature,Importance
EXT_SOURCE_MEAN,0.33198071582557387
B_B_CNT_PROLONGED_MAX_OVERDUE_MUL_STD_OVERALL,0.06877604727790969
AGE_EMPLOYED_DIFF,0.06779535424914777
AMT_ANNUITY_MEAN_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.052769279473028764
B_CREDIT_DAY_OVERDUE_MEAN_CA_ACTIVE,0.04863199774092738
ENTRANCES_AVG,0.04708476266036872
B_DAYS_ENDDATE_FACT_MIN_OVERALL,0.036468047560277
CREDIT_INCOME_RATIO,0.02924238443212392
B_BB_MONTHS_BALANCE_POS_MAX_MIN_OVERALL,0.022386276575308464
CREDIT_GOODS_RATIO,0.021716470875586435
AMT_INCOME_TOTAL_MIN_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.019416360931855527
EXT_SOURCE_MIN,0.018816559239774627
B_CREDIT_ACTIVE_CLOSED_MEAN,0.01824053431023296
REGION_RATING_MUL,0.015525964372262701
B_BB_STATUS_ENCODED_LAST_YEAR_REST_MEAN_OVERALL,0.013626375340589544
B_DAYS_CREDIT_MAX_CA_ACTIVE,0.013529067231301872
B_B_CURRENT_CREDIT_DEBT_DIFF_STD_OVERALL,0.013455986294189743
B_DAYS_CREDIT_MEAN_CA_CLOSED,0.012169398477165241
B_AMT_CREDIT_SUM_LIMIT_MEAN_OVERALL,0.011040298847057404
B_BB_STATUS_ENCODED_LAST_YEAR_0_SUM_OVERALL,0.010390254317028292
B_AMT_ANNUITY_SUM_CA_ACTIVE,0.010037683082142004
ANNUITY_INCOME_RATIO_MAX_AGG_OCCUPATION_TYPE_ORGANIZATION_TYPE,0.009910737371490964
AMT_INCOME_TOTAL_MEAN_AGG_FLAG_OWN_CAR_FLAG_OWN_REALTY_NAME_INCOME_TYPE,0.009822435541863177
B_BB_STATUS_ENCODED_MAX_YEAR_REST_SUM_OVERALL,0.00885542824370464
AMT_ANNUITY_MEAN_AGG_CODE_GENDER_NAME_FAMILY_STATUS_NAME_INCOME_TYPE,0.006849507679962244
B_AMT_CREDIT_SUM_MEAN_OVERALL,0.0066249345648131935
APARTMENTS_SUM_MODE,0.006145093390819203
B_AMT_CREDIT_SUM_DEBT_MEAN_OVERALL,0.005327738658977985
FLAG_WORK_PHONE,0.005054174541679341
B_AMT_CREDIT_SUM_DEBT_MEAN_CA_SOLD,0.004943253200650639
B_AMT_ANNUITY_MEAN_CA_ACTIVE,0.003685251102385606
B_BB_EXP_WEIGHTED_STATUS_LAST_YEAR_0_MAX_OVERALL,0.0034059189473293412
B_BB_STATUS_ENCODED_LAST_YEAR_1_STD_OVERALL,0.0031574364652956163
B_DAYS_CREDIT_ENDDATE_MIN_CA_ACTIVE,0.0030991428767839506
B_AMT_CREDIT_SUM_DEBT_STD_OVERALL,0.002965055993542462
B_B_CNT_PROLONGED_MAX_OVERDUE_MUL_SUM_OVERALL,0.0029215624034665023
B_B_CURRENT_AMT_OVERDUE_DURATION_RATIO_STD_OVERALL,0.0026325388843873487
B_B_CURRENT_CREDIT_DEBT_DIFF_MIN_OVERALL,0.0024517976421213716
B_BB_WEIGHTED_STATUS_MEAN_YEAR_0_MAX_OVERALL,0.0022107256732397246
AMT_ANNUITY_MIN_AGG_NAME_CONTRACT_TYPE_NAME_INCOME_TYPE_OCCUPATION_TYPE,0.002113159335701537
INCOME_APARTMENT_MEDI_MUL,0.0017791846992863565
